starttime	seconds	ctime	dtime	ttime	wait
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:30 2021	1640704230	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:30 2021	1640704230	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:30 2021	1640704230	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:30 2021	1640704230	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:08 2021	1640704208	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:09 2021	1640704209	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:27 2021	1640704227	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:05 2021	1640704205	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:29 2021	1640704229	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:11 2021	1640704211	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:28 2021	1640704228	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:25 2021	1640704225	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:12 2021	1640704212	0	2	2	2
Tue Dec 28 15:10:15 2021	1640704215	0	2	2	2
Tue Dec 28 15:10:17 2021	1640704217	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:24 2021	1640704224	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:04 2021	1640704204	0	2	2	2
Tue Dec 28 15:10:23 2021	1640704223	0	2	2	2
Tue Dec 28 15:10:21 2021	1640704221	0	2	2	2
Tue Dec 28 15:10:07 2021	1640704207	0	2	2	2
Tue Dec 28 15:10:22 2021	1640704222	0	2	2	2
Tue Dec 28 15:10:06 2021	1640704206	0	2	2	2
Tue Dec 28 15:10:02 2021	1640704202	0	2	2	2
Tue Dec 28 15:10:03 2021	1640704203	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:14 2021	1640704214	0	2	2	2
Tue Dec 28 15:10:13 2021	1640704213	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:26 2021	1640704226	0	2	2	2
Tue Dec 28 15:10:30 2021	1640704230	0	2	2	2
Tue Dec 28 15:10:20 2021	1640704220	0	2	2	2
Tue Dec 28 15:10:19 2021	1640704219	0	2	2	2
Tue Dec 28 15:10:18 2021	1640704218	0	2	2	2
Tue Dec 28 15:10:16 2021	1640704216	0	2	2	2
